Designator,Mid X,Mid Y,Rotation,Layer
C1,150.46,-86.89,0.0,bottom
C2,154.37,-97.1825,270.0,top
C3,156.7,-97.1825,90.0,top
C4,159.4525,-82.26,180.0,top
C5,169.4,-80.24,90.0,top
C6,159.48,-85.7,180.0,top
C7,170.59,-88.18,0.0,top
C8,170.6525,-83.98,0.0,top
C9,162.6925,-78.71,0.0,top
D1,139.8,-75.4,180.0,top
D2,139.85,-77.7,0.0,top
D3,142.15,-91.7,0.0,top
D4,153.54,-77.3625,270.0,top
J1,137.27,-96.865,180.0,bottom
J2,174.97,-94.38,0.0,bottom
L1,146.92,-96.5,0.0,top
L2,158.44,-78.75,90.0,top
Q1,144.65,-78.8625,90.0,top
Q2,149.85,-77.365,90.0,top
Q3,163.72,-94.65,270.0,top
Q4,144.6,-82.8375,270.0,top
Q5,139.47,-82.905,270.0,top
R1,144.8,-75.8,180.0,top
R10,171.72,-80.31,270.0,top
R11,159.44,-87.81,180.0,top
R12,175.7,-77.83,270.0,top
R13,170.6,-86.05,0.0,top
R14,175.68,-81.76,90.0,top
R2,158.91,-97.16,90.0,top
R3,139.67,-79.9,0.0,top
R4,149.1,-82.8,0.0,top
R5,149.65,-80.425,180.0,top
R6,153.55,-80.425,0.0,top
R7,149.1,-84.8,0.0,top
R8,139.4,-88.0,0.0,top
R9,139.4,-85.9,180.0,top
U1,164.83,-84.75,0.0,top
