"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C6,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1uF";;;
2;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1nF";;;
3;"R13,R5,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"1M";;;
4;"U1";"LT8606-MSOP-10-3x3mm";1;"~";;;
5;"R3,R9,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10K";;;
6;"L2";"L_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"L";;;
7;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"18.2K";;;
8;"D3,D2,D1";"D_SOD-123-1N4148W-TP";3;"1N4148WT";;;
9;"C5";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1uF";;;
10;"C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10pF";;;
11;"R10,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100K";;;
12;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1uF";;;
13;"Q3";"SOT-223";1;"STN851";;;
14;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"22K";;;
15;"Q1,Q2";"SOT-23-MMBT3904";2;"2N3906";;;
16;"R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470K";;;
17;"C9";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10uF";;;
18;"P2";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SHORT FOR 5V OUTPUT";;;
19;"Q4,Q5";"SOT-23-MMBT3904";2;"2N3904";;;
20;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4.7K";;;
21;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2.4K";;;
22;"L1";"L_CMC_50225C";1;"50225C";;;
23;"C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10nF";;;
24;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"309K";;;
25;"D4";"SOT-23-BZX84";1;"BZX384-A24,215";;;
26;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"INPUT";;;
27;"C1";"CP_Radial_D25.0mm_P10.00mm_SnapIn";1;"C_Polarized";;;
28;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
